# http://alis.isoc.org/langues/iso639.ja.htm より
aa	アファル語
ab	アプハジア語
af	アフリカーンス語
am	アムハラ語
ar	アラビア語
as	アッサム語
ay	アイマラ語
az	アゼルバイジェン語
ba	バシキール語
be	白ロシア語
bg	ブルガリア語
bh	ビハール語
bi	ビスラマ語
bn	ベンガル語
bo	チベット語
br	ブルターニュ語
ca	カタラン語
co	コルシカ語
cs	チェコスロバキア語
cy	ウェールズ語
da	デンマーク語
de	ドイツ語
dz	ブータン語
el	ギリシャ語
en	英語
eo	エスペラント語
es	スペイン語
et	エストニア語
eu	バスク語
fa	ペルシャ語
fi	フィンランド語
fj	フィジー語
fo	フェロー語
fr	フランス語
fy	フリジア語
ga	アイルランド語
gd	スコットランドゲーリック語
gl	ガリシア語
gn	グアラニー語
gu	グジャラト語
ha	ハウサ語
he	ヘブライ語
hi	ヒンディー語
hr	クロアチア語
hu	ハンガリー語
hy	アルメニア語
ia	インターリンガ(国際語)
id	インドネシア語
ie	インターリング
ik	イヌピア語
is	アイスランド語
it	イタリア語
ja	日本語
ka	ジョージア語
kk	カザフ語
kl	グリーンランド語
km	カンボジア語
kn	カンナダ語
ko	韓国語
ks	カシミール語
ku	クルド語
ky	キルギス語
la	ラテン語
ln	リンガラ語
lo	ラオタ語
lt	リトアニア語
lv	ラトビアレット語
mg	マダガスカル語
mi	マオリ語
mk	マカドニア語
ml	マラヤーラム語
mn	モンゴル語
mo	モルダビア語
mr	マラッタ語
ms	マレー語
mt	マルタ語
my	ビルマ語
na	ナウル語
ne	ネパール語
nl	オランダ語
no	ノルウェー語
oc	オキタン語
om	オロモ語
or	オーリア語
pa	パンジャビ語
pl	ポーランド語
ps	パシト語
pt	ポルトガル語
qu	クエチュア語
rm	レトロアン(ス)語
rn	キルンディ語
ro	ルーマニア語
ru	ロシア語
rw	キヤーワンダ語
sa	サンスクリット語
sd	シンド語
sg	サングホ語
sh	セルボクロアチア語
si	シンハラ語
sk	スルバキア語
sl	スロベンニア語
sm	サモア語
sn	ショナ語
so	マリ語
sq	アルバニア語
sr	セルビア語
ss	シスワティ語
st	セト語
su	スーダン語
sv	スウェーデン語
sw	スワヒリ語
ta	タミル語
te	テルグ語
tg	タジク語
th	タイ語
ti	チグリニャ語
tk	トルクメン語
tl	タガログ語
tn	セツワナ語
to	トンガ語
tr	トルコ語
ts	ヅォンガ語
tt	タタール語
tw	トウィ語
uk	ウクライナ語
ur	ウルドゥー語
uz	ウズベク語
vi	ベトナム語
vo	ヴォラピュック語
wo	ウォロフ語
xh	コーサ語
yi	イディッシュ語
yo	ヨルバ語
zh	中国語
zu	ズールー語
